id	name	class
!!a	a	MagicKnight	No
stormtiara	Storm Tiara	Item	No
stormtiararare	Storm Tiara	Item	Rare
strawhat	Straw Hat	Item	No
strawhatrare	Straw Hat	Item	Rare
strongmojo	Strong Mojo	Item	No
strongmojorare	Strong Mojo	Item	Rare
surprisebox	Surprise Box	Item	No
surpriseboxrare	Surprise Box	Item	Rare
surprisegiftbox	Surprise Gift Box	Item	No
surprisegiftboxrare	Surprise Gift Box	Item	Rare
taintedrod	Tainted Rod	Item	No
taintedrodrare	Tainted Rod	Item	Rare
albatrosspendant	Albatross Pendant	Item	No
albatrosspendantrare	Albatross Pendant	Item	Rare
brasslantern	Brass Lantern	Item	No
brasslanternrare	Brass Lantern	Item	Rare
coldrune	Cold Rune	Item	No
coldrunerare	Cold Rune	Item	Rare
crescentmoon	Crescent Moon	Item	No
crescentmoonrare	Crescent Moon	Item	Rare
darkflamering	Darkflame Ring	Item	No
darkflameringrare	Darkflame Ring	Item	Rare
dracomancerstaff	Dracomancer Staff	Item	No
dracomancerstaffrare	Dracomancer Staff	Item	Rare
elvencuirass	Elven Cuirass	Item	No
elvencuirassrare	Elven Cuirass	Item	Rare
faeborgscale	Faeborg Scale	Item	No
faeborgscalerare	Faeborg Scale	Item	Rare
freezingink	Freezing Ink	Item	No
freezinginkrare	Freezing Ink	Item	Rare
frostaxe	Frost Axe	Item	No
frostaxerare	Frost Axe	Item	Rare
frozenarrows	Frozen Arrows	Item	No
frozenarrowsrare	Frozen Arrows	Item	Rare
frozentear	Frozen Tear	Item	No
frozentearrare	Frozen Tear	Item	Rare
icebreaker	Icebreaker	Item	No
icebreakerrare	Icebreaker	Item	Rare
iceorb	Ice Orb	Item	No
iceorbrare	Ice Orb	Item	Rare
lightningrune	Lightning Rune	Item	No
lightningrunerare	Lightning Rune	Item	Rare
paladingauntlets	Paladin Gauntlets	Item	No
paladingauntletsrare	Paladin Gauntlets	Item	Rare
tempest	Tempest	Item	No
tempestrare	Tempest	Item	Rare
templeamulet	Temple Amulet	Item	No
templeamuletrare	Temple Amulet	Item	Rare
terrorring	Terror Ring	Item	No
terrorringrare	Terror Ring	Item	Rare
tesseract	Tesseract	Item	No
tesseractrare	Tesseract	Item	Rare
theanvil	The Anvil	Item	No
theanvilrare	The Anvil	Item	Rare
thedarkone	The Dark One	Item	No
thedarkonerare	The Dark One	Item	Rare
thedefiler	The Defiler	Item	No
thedefilerrare	The Defiler	Item	Rare
theone	The One	Item	No
theonerare	The One	Item	Rare
thepolluter	The Polluter	Item	No
thepolluterrare	The Polluter	Item	Rare
theporcupine	The Porcupine	Item	No
theporcupinerare	The Porcupine	Item	Rare
theproficient	The Proficient	Item	No
theproficientrare	The Proficient	Item	Rare
thermalamulet	Thermal Amulet	Item	No
thermalamuletrare	Thermal Amulet	Item	Rare
thermalring	Thermal Ring	Item	No
thermalringrare	Thermal Ring	Item	Rare
thewall	The Wall	Item	No
thewallrare	The Wall	Item	Rare
thewolfslayer	The Wolfslayer	Item	No
thewolfslayera	The Wolfslayer	Item	A
thewolfslayerb	The Wolfslayer	Item	B
thewolfslayerrare	The Wolfslayer	Item	Rare
thorimsrod	Thorim's Rod	Item	No
thornyring	Thorny Ring	Item	No
thornyringrare	Thorny Ring	Item	Rare
tikimask	Tiki Mask	Item	No
tikimaskrare	Tiki Mask	Item	Rare
titangauntlets	Titan Gauntlets	Item	No
titangauntletsrare	Titan Gauntlets	Item	Rare
torch	Torch	Item	No
torchrare	Torch	Item	Rare
touristmap	Tourist Map	Item	No
touristmaprare	Tourist Map	Item	Rare
twinblades	Twin Blades	Item	No
twinbladesrare	Twin Blades	Item	Rare
tyrantnecklace	Tyrant Necklace	Item	No
tyrantnecklacerare	Tyrant Necklace	Item	Rare
alarmbell	Alarm Bell	Item	No
alarmbellrare	Alarm Bell	Item	Rare
architectsring	Architect's Ring	Item	No
architectsringrare	Architect's Ring	Item	Rare
ballofwool	Ball of Wool	Item	No
ballofwoolrare	Ball of Wool	Item	Rare
blackdeck	Black Deck	Item	No
blackdeckrare	Black Deck	Item	Rare
blackpyramid	Black Pyramid	Item	No
blackpyramidrare	Black Pyramid	Item	Rare
bookofthedead	Book of the Dead	Item	No
bookofthedeadrare	Book of the Dead	Item	Rare
broccoli	Broccoli	Special	No
burialmask	Burial Mask	Item	No
burialmaskrare	Burial Mask	Item	Rare
carrot	Carrot	Special	No
chaliceofqueens	Chalice of Queens	Item	No
chaliceofqueensrare	Chalice of Queens	Item	Rare
corruptedplate	Corrupted Plate	Item	No
corruptedplatea	Corrupted Plate	Item	A
corruptedplateb	Corrupted Plate	Item	B
corruptedplaterare	Corrupted Plate	Item	Rare
crimsonraiment	Crimson Raiment	Item	No
crimsonraimentrare	Crimson Raiment	Item	Rare
cursedcard	Cursed Types	Special	No
cursedcardrare	Cursed Types	Special	Rare
desertjam	Desert Jam	Item	No
desertjamrare	Desert Jam	Item	Rare
durandal	Durandal	Item	No
durandalrare	Durandal	Item	Rare
energyshield	Energy Shield	Item	No
energyshieldrare	Energy Shield	Item	Rare
fistofthedamned	Fists of the Damned	Item	No
fistofthedamnedrare	Fists of the Damned	Item	Rare
freelover	Free Lover	Item	No
freeloverrare	Free Lover	Item	Rare
gildedplate	Gilded Plate	Item	No
gildedplatea	Gilded Plate	Item	A
gildedplateb	Gilded Plate	Item	B
gildedplaterare	Gilded Plate	Item	Rare
holyrune	Holy Rune	Item	No
holyrunerare	Holy Rune	Item	Rare
lavapotion	Lava Potion	Item	No
lavapotionrare	Lava Potion	Item	Rare
lostmail	Lost Mail	Item	No
lostmailrare	Lost Mail	Item	Rare
lunaring	Luna Ring	Item	No
lunaringrare	Luna Ring	Item	Rare
megaphone	Megaphone	Item	No
megaphonerare	Megaphone	Item	Rare
mixedsalad	Mixed Salad	Item	No
mixedsaladrare	Mixed Salad	Item	Rare
necromancerrobe	Necromancer Robe	Item	No
necromancerroberare	Necromancer Robe	Item	Rare
penitencering	Penitence Ring	Item	No
penitenceringrare	Penitence Ring	Item	Rare
raisemage	Raise Mage	Special	No
raisemagerare	Raise Mage	Special	Rare
raisepriest	Raise Priest	Special	No
raisepriestrare	Raise Priest	Special	Rare
raisewarlock	Raise Warlock	Special	No
raisewarlockrare	Raise Warlock	Special	Rare
sacredaxe	Sacred Axe	Item	No
sacredaxerare	Sacred Axe	Item	Rare
scarabshield	Scarab Shield	Item	No
scarabshieldrare	Scarab Shield	Item	Rare
serenityring	Serenity Ring	Item	No
serenityringrare	Serenity Ring	Item	Rare
shadowrune	Shadow Rune	Item	No
shadowrunerare	Shadow Rune	Item	Rare
solring	Sol Ring	Item	No
solringrare	Sol Ring	Item	Rare
suppressionhelmet	Suppresion Helmet	Item	No
suppressionhelmetrare	Suppresion Helmet	Item	Rare
thejuggernaut	The Juggernaut	Item	No
thejuggernautrare	The Juggernaut	Item	Rare
tomato	Tomato	Special	No
topazring	Topaz Ring	Item	No
topazringrare	Topaz Ring	Item	Rare
turban	Turban	Item	No
turbanrare	Turban	Item	Rare
undeathichor	Undeath Ichor	Item	No
undeathichorrare	Undeath Ichor	Item	Rare
unholyhammer	Unholy Hammer	Item	No
unholyhammerrare	Unholy Hammer	Item	Rare
uselessletter	Useless Letter	Special	No
venomamulet	Venom Amulet	Item	No
venomamuletrare	Venom Amulet	Item	Rare
venomfang	Venom Fang	Item	No
venomfangrare	Venom Fang	Item	Rare
venomflask	Venom Flask	Item	No
venomflaska	Venom Flask	Item	A
venomflaskb	Venom Flask	Item	B
veteranarmor	Veteran Armor	Item	No
veteranarmorrare	Veteran Armor	Item	Rare
vilering	Vile Ring	Item	No
vileringrare	Vile Ring	Item	Rare
viperring	Viper Ring	Item	No
viperringrare	Viper Ring	Item	Rare
virulentring	Virulent Ring	Item	No
virulentringrare	Virulent Ring	Item	Rare
visionring	Vision Ring	Item	No
visionringrare	Vision Ring	Item	Rare
volcanicaxe	Volcanic Axe	Item	No
volcanicaxerare	Volcanic Axe	Item	Rare
voodoodoll	Voodoo Doll	Item	No
voodoodollrare	Voodoo Doll	Item	Rare
warbanner	War Banner	Item	No
warbannerrare	War Banner	Item	Rare
wardrum	War Drum	Item	No
wardrumrare	War Drum	Item	Rare
warhammer	War Hammer	Item	No
warhammerrare	War Hammer	Item	Rare
warriorcode	Warrior Code	Item	No
warriorcoderare	Warrior Code	Item	Rare
watervase	Water Vase	Item	No
watervaserare	Water Vase	Item	Rare
weaponpouch	Weapon Pouch	Item	No
weaponpouchrare	Weapon Pouch	Item	Rare
wingedwand	Winged Wand	Item	No
wingedwandrare	Winged Wand	Item	Rare
wolfskincloack	Wolfskin Cloak	Item	No
wolfskincloackrare	Wolfskin Cloak	Item	Rare
woodencrosier	Wooden Crosier	Item	No
woodencrosiera	Wooden Crosier	Item	A
woodencrosierb	Wooden Crosier	Item	B
woodencrosierrare	Wooden Crosier	Item	Rare
woollyhat	Woolly Hat	Item	No
woollyhatrare	Woolly Hat	Item	Rare
xulrunestone	Xul Runestone	Item	No
xulrunestonerare	Xul Runestone	Item	Rare
yggdrasilroot	Yggdrasil Root	Item	No
yggdrasilrootrare	Yggdrasil Root	Item	Rare
yinyangbadge	Yin Yang Badge	Item	No
yinyangbadgerare	Yin Yang Badge	Item	Rare
ylmerbranch	Ylmer's Branch	Item	No
ylmerbranchrare	Ylmer's Branch	Item	Rare
yoggercleaver	Yogger's Cleaver	Item	No
yoggercleaverrare	Yogger's Cleaver	Item	Rare
kill	Kill	MagicKnight	No
killone	KillOne	MagicKnight	No
lookanddiscard	Look And Discard	MagicKnight	No
bluedragon	Blue Dragon	Monster	No
firecrackers	Firecrackers	Monster	No
firecrackersa	Firecrackers	Monster	A
firecrackersb	Firecrackers	Monster	B
greendragon	Green Dragon	Monster	No
lanternfestival	Lantern Festival	Monster	No
lanternfestivala	Lantern Festival	Monster	A
lanternfestivalb	Lantern Festival	Monster	B
mysticnight	Mystic Night	Monster	No
mysticnighta	Mystic Night	Monster	A
mysticnightb	Mystic Night	Monster	B
threedragons	Three Dragons	Monster	No
threedragonsa	Three Dragons	Monster	A
threedragonsb	Three Dragons	Monster	B
yellowdragon	Yellow Dragon	Monster	No
balllightning	Ball Lightning	Mage	No
balllightninga	Ball Lightning	Mage	A
balllightningb	Ball Lightning	Mage	B
balllightningrare	Ball Lightning	Mage	Rare
blizzard	Blizzard	Mage	No
blizzarda	Blizzard	Mage	A
blizzardb	Blizzard	Mage	B
blizzardrare	Blizzard	Mage	Rare
bookofnightmares	Book of Nightmares	Mage	No
bookofnightmaresa	Book of Nightmares	Mage	A
bookofnightmaresb	Book of Nightmares	Mage	B
bookofnightmaresrare	Book of Nightmares	Mage	Rare
bookworm	Bookworm	Mage	No
bookworma	Bookworm	Mage	A
bookwormb	Bookworm	Mage	B
bookwormrare	Bookworm	Mage	Rare
cauterize	Cauterize	Mage	No
cauterizea	Cauterize	Mage	A
cauterizeb	Cauterize	Mage	B
cauterizerare	Cauterize	Mage	Rare
chainlightning	Chain Lightning	Mage	No
chainlightninga	Chain Lightning	Mage	A
chainlightningb	Chain Lightning	Mage	B
chainlightningrare	Chain Lightning	Mage	Rare
chargebattery	Charge Battery	Mage	No
chargebatterya	Charge Battery	Mage	A
chargebatteryb	Charge Battery	Mage	B
chargebatteryrare	Charge Battery	Mage	Rare
clearinstructions	Clear Instructions	Mage	No
clearinstructionsa	Clear Instructions	Mage	A
clearinstructionsb	Clear Instructions	Mage	B
clearinstructionsrare	Clear Instructions	Mage	Rare
coldsnap	Cold Snap	Mage	No
coldsnapa	Cold Snap	Mage	A
coldsnapb	Cold Snap	Mage	B
coldsnaprare	Cold Snap	Mage	Rare
combustion	Combustion	Mage	No
combustiona	Combustion	Mage	A
combustionb	Combustion	Mage	B
combustionrare	Combustion	Mage	Rare
cursenomicon	Cursenomicon	Mage	No
cursenomicona	Cursenomicon	Mage	A
cursenomiconb	Cursenomicon	Mage	B
cursenomiconrare	Cursenomicon	Mage	Rare
curseofagony	Curse of Agony	Mage	No
curseofagonya	Curse of Agony	Mage	A
curseofagonyb	Curse of Agony	Mage	B
curseofagonyrare	Curse of Agony	Mage	Rare
curseofdecay	Curse of Decay	Mage	No
curseofdecaya	Curse of Decay	Mage	A
curseofdecayb	Curse of Decay	Mage	B
curseofdecayrare	Curse of Decay	Mage	Rare
curseofelements	Curse of Elements	Mage	No
curseofelementsa	Curse of Elements	Mage	A
curseofelementsb	Curse of Elements	Mage	B
curseofelementsrare	Curse of Elements	Mage	Rare
curseofexhaustion	Curse of Exhaustion	Mage	No
curseofexhaustiona	Curse of Exhaustion	Mage	A
curseofexhaustionb	Curse of Exhaustion	Mage	B
curseofexhaustionrare	Curse of Exhaustion	Mage	Rare
curseoffragility	Curse of Fragility	Mage	No
curseoffragilitya	Curse of Fragility	Mage	A
curseoffragilityb	Curse of Fragility	Mage	B
curseoffragilityrare	Curse of Fragility	Mage	Rare
curseofmadness	Curse of Madness	Mage	No
curseofmadnessa	Curse of Madness	Mage	A
curseofmadnessb	Curse of Madness	Mage	B
curseofmadnessrare	Curse of Madness	Mage	Rare
curseofshadows	Curse of Shadows	Mage	No
curseofshadowsa	Curse of Shadows	Mage	A
curseofshadowsb	Curse of Shadows	Mage	B
curseofshadowsrare	Curse of Shadows	Mage	Rare
curseoftorment	Curse of Torment	Mage	No
curseoftormenta	Curse of Torment	Mage	A
curseoftormentb	Curse of Torment	Mage	B
curseoftormentrare	Curse of Torment	Mage	Rare
curseofvulnerability	Curse of Vulnerability	Mage	No
curseofvulnerabilitya	Curse of Vulnerability	Mage	A
curseofvulnerabilityb	Curse of Vulnerability	Mage	B
curseofvulnerabilityrare	Curse of Vulnerability	Mage	Rare
curseofweakness	Curse of Weakness	Mage	No
curseofweaknessa	Curse of Weakness	Mage	A
curseofweaknessb	Curse of Weakness	Mage	B
curseofweaknessrare	Curse of Weakness	Mage	Rare
darkfuture	Dark Future	Mage	No
darkfuturea	Dark Future	Mage	A
darkfutureb	Dark Future	Mage	B
darkfuturerare	Dark Future	Mage	Rare
darknessfalls	Darkness Falls	Mage	No
darknessfallsa	Darkness Falls	Mage	A
darknessfallsb	Darkness Falls	Mage	B
darknessfallsrare	Darkness Falls	Mage	Rare
darkpact	Dark Pact	Mage	No
darkpacta	Dark Pact	Mage	A
darkpactb	Dark Pact	Mage	B
darkpactrare	Dark Pact	Mage	Rare
darkritual	Dark Ritual	Mage	No
darkrituala	Dark Ritual	Mage	A
darkritualb	Dark Ritual	Mage	B
darkritualrare	Dark Ritual	Mage	Rare
deathcoil	Death Coil	Mage	No
deathcoila	Death Coil	Mage	A
deathcoilb	Death Coil	Mage	B
deathcoilrare	Death Coil	Mage	Rare
deepdarkness	Deep Darkness	Mage	No
deepdarknessa	Deep Darkness	Mage	A
deepdarknessb	Deep Darkness	Mage	B
deepdarknessrare	Deep Darkness	Mage	Rare
disintegrate	Disintegrate	Mage	No
disintegratea	Disintegrate	Mage	A
disintegrateb	Disintegrate	Mage	B
disintegraterare	Disintegrate	Mage	Rare
drainlife	Drain Life	Mage	No
drainlifea	Drain Life	Mage	A
drainlifeb	Drain Life	Mage	B
drainliferare	Drain Life	Mage	Rare
electricdischarge	Electric Discharge	Mage	No
electricdischargea	Electric Discharge	Mage	A
electricdischargeb	Electric Discharge	Mage	B
electricdischargerare	Electric Discharge	Mage	Rare
electricitymanual	Electricity Manual	Mage	No
electricitymanuala	Electricity Manual	Mage	A
electricitymanualb	Electricity Manual	Mage	B
electricitymanualrare	Electricity Manual	Mage	Rare
electrocute	Electrocute	Mage	No
electrocutea	Electrocute	Mage	A
electrocuteb	Electrocute	Mage	B
electrocuterare	Electrocute	Mage	Rare
elementalbolt	Elemental Bolt	Mage	No
elementalbolta	Elemental Bolt	Mage	A
elementalboltb	Elemental Bolt	Mage	B
elementalboltrare	Elemental Bolt	Mage	Rare
elementalward	Elemental Ward	Mage	No
elementalwarda	Elemental Ward	Mage	A
elementalwardb	Elemental Ward	Mage	B
elementalwardrare	Elemental Ward	Mage	Rare
emberstorm	Emberstorm	Mage	No
emberstorma	Emberstorm	Mage	A
emberstormb	Emberstorm	Mage	B
emberstormrare	Emberstorm	Mage	Rare
endlessabyss	Endless Abyss	Mage	No
endlessabyssa	Endless Abyss	Mage	A
endlessabyssb	Endless Abyss	Mage	B
endlessabyssrare	Endless Abyss	Mage	Rare
equivalentexchange	Equivalent Exchange	Mage	No
equivalentexchangea	Equivalent Exchange	Mage	A
equivalentexchangeb	Equivalent Exchange	Mage	B
equivalentexchangerare	Equivalent Exchange	Mage	Rare
evocation	Evocation	Mage	No
evocationa	Evocation	Mage	A
evocationb	Evocation	Mage	B
evocationrare	Evocation	Mage	Rare
fireball	Fireball	Mage	No
fireballa	Fireball	Mage	A
fireballb	Fireball	Mage	B
fireballrare	Fireball	Mage	Rare
fireblast	Fire Blast	Mage	No
fireblasta	Fire Blast	Mage	A
fireblastb	Fire Blast	Mage	B
fireblastrare	Fire Blast	Mage	Rare
firestorm	Firestorm	Mage	No
firestorma	Firestorm	Mage	A
firestormb	Firestorm	Mage	B
firestormrare	Firestorm	Mage	Rare
flamestrike	Flamestrike	Mage	No
flamestrikea	Flamestrike	Mage	A
flamestrikeb	Flamestrike	Mage	B
flamestrikerare	Flamestrike	Mage	Rare
flare	Flare	Mage	No
flarea	Flare	Mage	A
flareb	Flare	Mage	B
flarerare	Flare	Mage	Rare
flashfreeze	Flash Freeze	Mage	No
flashfreezea	Flash Freeze	Mage	A
flashfreezeb	Flash Freeze	Mage	B
flashfreezerare	Flash Freeze	Mage	Rare
frostbolt	Frostbolt	Mage	No
frostbolta	Frostbolt	Mage	A
frostboltb	Frostbolt	Mage	B
frostboltrare	Frostbolt	Mage	Rare
frostnova	Frost Nova	Mage	No
frostnovaa	Frost Nova	Mage	A
frostnovab	Frost Nova	Mage	B
frostnovarare	Frost Nova	Mage	Rare
geyser	Geyser	Mage	No
geysera	Geyser	Mage	A
geyserb	Geyser	Mage	B
geyserrare	Geyser	Mage	Rare
grimoireofflames	Grimoire of Flames	Mage	No
grimoireofflamesa	Grimoire of Flames	Mage	A
grimoireofflamesb	Grimoire of Flames	Mage	B
grimoireofflamesrare	Grimoire of Flames	Mage	Rare
heatwave	Heat Wave	Mage	No
heatwavea	Heat Wave	Mage	A
heatwaveb	Heat Wave	Mage	B
heatwaverare	Heat Wave	Mage	Rare
icebarrier	Ice Barrier	Mage	No
icebarriera	Ice Barrier	Mage	A
icebarrierb	Ice Barrier	Mage	B
icebarrierrare	Ice Barrier	Mage	Rare
icecomet	Ice Comet	Mage	No
icecometa	Ice Comet	Mage	A
icecometb	Ice Comet	Mage	B
icecometrare	Ice Comet	Mage	Rare
icelance	Ice Lance	Mage	No
icelancea	Ice Lance	Mage	A
icelanceb	Ice Lance	Mage	B
icelancerare	Ice Lance	Mage	Rare
icicle	Icicle	Mage	No
iciclea	Icicle	Mage	A
icicleb	Icicle	Mage	B
iciclebarrage	Icicle Barrage	Mage	No
iciclebarragea	Icicle Barrage	Mage	A
iciclebarrageb	Icicle Barrage	Mage	B
iciclebarragerare	Icicle Barrage	Mage	Rare
iciclerare	Icicle	Mage	Rare
icyveins	Icy Veins	Mage	No
icyveinsa	Icy Veins	Mage	A
icyveinsb	Icy Veins	Mage	B
icyveinsrare	Icy Veins	Mage	Rare
ignite	Ignite	Mage	No
ignitea	Ignite	Mage	A
igniteb	Ignite	Mage	B
igniterare	Ignite	Mage	Rare
immolate	Immolate	Mage	No
immolatea	Immolate	Mage	A
immolateb	Immolate	Mage	B
immolaterare	Immolate	Mage	Rare
innercombustion	Inner Combustion	Mage	No
innercombustiona	Inner Combustion	Mage	A
innercombustionb	Inner Combustion	Mage	B
innercombustionrare	Inner Combustion	Mage	Rare
invisibility	Invisibility	Mage	No
invisibilitya	Invisibility	Mage	A
invisibilityb	Invisibility	Mage	B
invisibilityrare	Invisibility	Mage	Rare
librarian	Librarian	Mage	No
librariana	Librarian	Mage	A
librarianb	Librarian	Mage	B
librarianrare	Librarian	Mage	Rare
lifetap	Life Tap	Mage	No
lifetapa	Life Tap	Mage	A
lifetapb	Life Tap	Mage	B
lifetaprare	Life Tap	Mage	Rare
livingflame	Living Flame	Mage	No
livingflamea	Living Flame	Mage	A
livingflameb	Living Flame	Mage	B
livingflamerare	Living Flame	Mage	Rare
maliciouseye	Malicious Eye	Mage	No
maliciouseyea	Malicious Eye	Mage	A
maliciouseyeb	Malicious Eye	Mage	B
maliciouseyerare	Malicious Eye	Mage	Rare
managem	Mana Gem	Mage	No
managema	Mana Gem	Mage	A
managemb	Mana Gem	Mage	B
managemrare	Mana Gem	Mage	Rare
manashield	Mana Shield	Mage	No
manashielda	Mana Shield	Mage	A
manashieldb	Mana Shield	Mage	B
manashieldrare	Mana Shield	Mage	Rare
manasurge	Mana Surge	Mage	No
manasurgea	Mana Surge	Mage	A
manasurgeb	Mana Surge	Mage	B
manasurgerare	Mana Surge	Mage	Rare
massinvisibility	Mass Invisibility	Mage	No
massinvisibilitya	Mass Invisibility	Mage	A
massinvisibilityb	Mass Invisibility	Mage	B
massinvisibilityrare	Mass Invisibility	Mage	Rare
meteorite	Meteorite	Mage	No
meteoritea	Meteorite	Mage	A
meteoriteb	Meteorite	Mage	B
meteoriterare	Meteorite	Mage	Rare
meteorshower	Meteor Shower	Mage	No
meteorshowera	Meteor Shower	Mage	A
meteorshowerb	Meteor Shower	Mage	B
meteorshowerrare	Meteor Shower	Mage	Rare
mirrorimages	Mirror Images	Mage	No
mirrorimagesa	Mirror Images	Mage	A
mirrorimagesb	Mirror Images	Mage	B
mirrorimagesrare	Mirror Images	Mage	Rare
necropotence	Necropotence	Mage	No
necropotencea	Necropotence	Mage	A
necropotenceb	Necropotence	Mage	B
necropotencerare	Necropotence	Mage	Rare
necroticburst	Necrotic Burst	Mage	No
necroticbursta	Necrotic Burst	Mage	A
necroticburstb	Necrotic Burst	Mage	B
necroticburstrare	Necrotic Burst	Mage	Rare
nightmare	Nightmare	Mage	No
nightmarea	Nightmare	Mage	A
nightmareb	Nightmare	Mage	B
nightmarerare	Nightmare	Mage	Rare
noxiouseruption	Noxious Eruption	Mage	No
noxiouseruptiona	Noxious Eruption	Mage	A
noxiouseruptionb	Noxious Eruption	Mage	B
noxiouseruptionrare	Noxious Eruption	Mage	Rare
pestilence	Pestilence	Mage	No
pestilencea	Pestilence	Mage	A
pestilenceb	Pestilence	Mage	B
pestilencerare	Pestilence	Mage	Rare
prismaticfield	Prismatic Field	Mage	No
prismaticfielda	Prismatic Field	Mage	A
prismaticfieldb	Prismatic Field	Mage	B
prismaticfieldrare	Prismatic Field	Mage	Rare
pyroblast	Pyroblast	Mage	No
pyroblasta	Pyroblast	Mage	A
pyroblastb	Pyroblast	Mage	B
pyroblastrare	Pyroblast	Mage	Rare
rain	Rain	Mage	No
raina	Rain	Mage	A
rainb	Rain	Mage	B
rainrare	Rain	Mage	Rare
rayoffrost	Ray of Frost	Mage	No
rayoffrosta	Ray of Frost	Mage	A
rayoffrostb	Ray of Frost	Mage	B
rayoffrostrare	Ray of Frost	Mage	Rare
recurringnightmare	Recurring Nightmare	Mage	No
recurringnightmarea	Recurring Nightmare	Mage	A
recurringnightmareb	Recurring Nightmare	Mage	B
recurringnightmarerare	Recurring Nightmare	Mage	Rare
replenishment	Replenishment	Mage	No
replenishmenta	Replenishment	Mage	A
replenishmentb	Replenishment	Mage	B
replenishmentrare	Replenishment	Mage	Rare
scorchingray	Scorching Ray	Mage	No
scorchingraya	Scorching Ray	Mage	A
scorchingrayb	Scorching Ray	Mage	B
scorchingrayrare	Scorching Ray	Mage	Rare
scrollofdefense	Scroll of Defense	Mage	No
scrollofdefensea	Scroll of Defense	Mage	A
scrollofdefenseb	Scroll of Defense	Mage	B
scrollofdefenserare	Scroll of Defense	Mage	Rare
scrollofintellect	Scroll of Intellect	Mage	No
scrollofintellecta	Scroll of Intellect	Mage	A
scrollofintellectb	Scroll of Intellect	Mage	B
scrollofintellectrare	Scroll of Intellect	Mage	Rare
scrollofspeed	Scroll of Speed	Mage	No
scrollofspeeda	Scroll of Speed	Mage	A
scrollofspeedb	Scroll of Speed	Mage	B
scrollofspeedrare	Scroll of Speed	Mage	Rare
searingnova	Searing Nova	Mage	No
searingnovaa	Searing Nova	Mage	A
searingnovab	Searing Nova	Mage	B
searingnovarare	Searing Nova	Mage	Rare
searingtouch	Searing Touch	Mage	No
searingtoucha	Searing Touch	Mage	A
searingtouchb	Searing Touch	Mage	B
searingtouchrare	Searing Touch	Mage	Rare
shadowbinding	Shadow Binding	Mage	No
shadowbindinga	Shadow Binding	Mage	A
shadowbindingb	Shadow Binding	Mage	B
shadowbindingrare	Shadow Binding	Mage	Rare
shadowbolt	Shadow Bolt	Mage	No
shadowbolta	Shadow Bolt	Mage	A
shadowboltb	Shadow Bolt	Mage	B
shadowboltrare	Shadow Bolt	Mage	Rare
shatter	Shatter	Mage	No
shattera	Shatter	Mage	A
shatterb	Shatter	Mage	B
shatterrare	Shatter	Mage	Rare
shiftingscroll	Shifting Scroll	Mage	No
shiftingscrolla	Shifting Scroll	Mage	A
shiftingscrollb	Shifting Scroll	Mage	B
shiftingscrollrare	Shifting Scroll	Mage	Rare
shocknova	Shock Nova	Mage	No
shocknovaa	Shock Nova	Mage	A
shocknovab	Shock Nova	Mage	B
shocknovarare	Shock Nova	Mage	Rare
siphonlife	Siphon Life	Mage	No
siphonlifea	Siphon Life	Mage	A
siphonlifeb	Siphon Life	Mage	B
siphonliferare	Siphon Life	Mage	Rare
squall	Squall	Mage	No
squalla	Squall	Mage	A
squallb	Squall	Mage	B
squallrare	Squall	Mage	Rare
superconductor	Superconductor	Mage	No
superconductora	Superconductor	Mage	A
superconductorb	Superconductor	Mage	B
superconductorrare	Superconductor	Mage	Rare
theencyclopedia	The Encyclopedia	Mage	No
theencyclopediaa	The Encyclopedia	Mage	A
theencyclopediab	The Encyclopedia	Mage	B
theencyclopediarare	The Encyclopedia	Mage	Rare
tomeofintellect	Tome of Intellect	Mage	No
tomeofintellecta	Tome of Intellect	Mage	A
tomeofintellectb	Tome of Intellect	Mage	B
tomeofintellectrare	Tome of Intellect	Mage	Rare
transmision	Transmission	Mage	No
transmisiona	Transmission	Mage	A
transmisionb	Transmission	Mage	B
transmisionrare	Transmission	Mage	Rare
unstablepower	Unstable Power	Mage	No
unstablepowera	Unstable Power	Mage	A
unstablepowerb	Unstable Power	Mage	B
unstablepowerrare	Unstable Power	Mage	Rare
vampirictutor	Vampiric Tutor	Mage	No
vampirictutora	Vampiric Tutor	Mage	A
vampirictutorb	Vampiric Tutor	Mage	B
vampirictutorrare	Vampiric Tutor	Mage	Rare
waterjet	Water Jet	Mage	No
waterjeta	Water Jet	Mage	A
waterjetb	Water Jet	Mage	B
waterjetrare	Water Jet	Mage	Rare
winteriscoming	Winter Is Coming	Mage	No
winteriscominga	Winter Is Coming	Mage	A
winteriscomingb	Winter Is Coming	Mage	B
winteriscomingrare	Winter Is Coming	Mage	Rare
winterorb	Winter Orb	Mage	No
winterorba	Winter Orb	Mage	A
winterorbb	Winter Orb	Mage	B
winterorbrare	Winter Orb	Mage	Rare
wintersnighttale	Winter's Night Tale	Mage	No
wintersnighttalea	Winter's Night Tale	Mage	A
wintersnighttaleb	Winter's Night Tale	Mage	B
wintersnighttalerare	Winter's Night Tale	Mage	Rare
zap	Zap	Mage	No
zapa	Zap	Mage	A
zapb	Zap	Mage	B
zaprare	Zap	Mage	Rare
abyssalsonata	Abyssal Sonata	Monster	No
abyssalsonataa	Abyssal Sonata	Monster	A
abyssalsonatab	Abyssal Sonata	Monster	B
amnesia	Amnesia	Monster	No
amnesiaa	Amnesia	Monster	A
amnesiab	Amnesia	Monster	B
